regime_encoded,volatility_encoded,conviction_score,impulse,follow_through,confidence,style_encoded,setup_encoded,session_encoded,setup_raw_avg_R,regime_raw_avg_R,ml_probability,predicted_won,won
2,2,4,1.1541598694942545,0.75,0.5,3,1,2,0,0,0.5,1,0
2,2,2,1.0323886639677686,0.5,0.5,3,1,2,0,0,0.5,1,0
2,2,4,0.9156626506025407,0.75,0.5,2,1,2,0,0,0.5,1,1
2,2,4,1.0305775764439136,0.75,0.5,2,1,3,0,0,0.5,1,1
2,2,4,0.8719646799117903,1.0,0.5,2,1,3,0,0,0.5,1,0
2,3,4,1.218905472636867,1.0,0.5,2,3,3,0,0,0.5,1,0
2,3,4,1.2354409317805206,1.0,0.5,2,3,3,0,0,0.5,1,0
3,3,2,1.5508559919434874,0.5,0.5,2,1,3,0,0,0.5,1,0
2,3,4,0.9967585089141402,1.0,0.5,2,3,3,0,0,0.5,1,0
2,3,4,1.1077586206896581,1.0,0.5,2,3,3,0,0,0.5,1,0
2,3,2,1.1092577147624723,0.5,0.5,2,3,3,0,0,0.5,1,0
2,3,4,0.9018355945730395,0.75,0.5,2,3,3,0,0,0.5,1,0
2,3,4,0.9403107113654747,1.0,0.5,2,3,3,0,0,0.5,1,0
2,3,4,0.9021651964715133,0.75,0.5,2,3,3,0,0,0.5,1,0
2,2,4,1.3049095607236119,0.75,0.5,2,1,3,0,0,0.5,1,1
2,3,4,0.713712910986433,0.75,0.5,2,3,3,0,0,0.5,1,1
2,2,4,0.8496732026144674,1.0,0.5,3,1,3,0,0,0.5,1,0
2,2,2,1.099562363238744,0.25,0.5,3,1,3,0,0,0.5,1,0
2,2,4,0.6460369163952178,0.75,0.5,2,1,3,0,0,0.5,1,0
2,2,2,0.7047619047619912,0.25,0.5,3,1,3,0,0,0.5,1,0
2,2,4,0.8333333333334251,1.0,0.5,3,1,3,0,0,0.5,1,0
3,3,4,1.6448801742920405,0.75,0.5,1,2,1,0,0,0.5,1,1
3,3,4,2.530021834061201,0.75,0.5,1,1,1,0,0,0.5,1,0
2,3,2,1.2183020948181256,0.5,0.5,2,1,1,0,0,0.5,1,0
3,3,6,2.528656579550717,1.0,0.5,2,2,1,0,0,0.5,1,1
2,0,0,0,0,0.5,2,2,1,0,0,0.5,1,1
2,3,2,1.2183020948181256,0.5,0.5,2,1,1,0,0,0.5,1,0
3,3,6,2.528656579550717,1.0,0.5,2,2,1,0,0,0.5,1,1
2,3,4,0.6873315363881467,0.75,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.9970089730807492,0.75,0.5,2,1,1,0,0,0.5,1,1
2,3,4,0.5793936279547375,0.75,0.5,1,3,1,0,0,0.5,1,0
1,3,4,0.5942408376962928,0.75,0.5,1,1,1,0,0,0.5,1,0
2,3,4,0.5793936279547375,0.75,0.5,2,3,1,0,0,0.5,1,1
3,3,4,1.6448801742920405,0.75,0.5,3,2,1,0,0,0.5,1,1
2,3,4,1.0149031296572484,0.75,0.5,1,2,2,0,0,0.5,1,0
2,3,4,0.8168241389820384,0.75,0.5,1,2,2,0,0,0.5,1,0
